"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","ActivityStartDateTime","ActivityEndDateTime"
"1382","USGS-ME","USGS Maine Water Science Center","nwisma.01.97400977","Sample-Routine","Water","Surface Water",1974-09-17,"14:30:00","EDT",NA,NA,NA,80,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-433500070582700",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4.5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-09-17 18:30:00,NA
"1383","USGS-ME","USGS Maine Water Science Center","nwisma.01.97400978","Sample-Routine","Water","Surface Water",1974-09-17,"14:45:00","EDT",NA,NA,NA,45,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-433500070582700",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4.7,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-09-17 18:45:00,NA
"1384","USGS-ME","USGS Maine Water Science Center","nwisma.01.97400980","Sample-Routine","Water","Surface Water",1974-09-17,"15:15:00","EDT",NA,NA,NA,2,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-433500070582700",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-09-17 19:15:00,NA
"1385","USGS-ME","USGS Maine Water Science Center","nwisma.01.97400995","Sample-Routine","Water","Groundwater",1974-06-06,NA,NA,NA,NA,NA,72,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-434758070272401",NA,"Ice-Contact Deposits, Pleistocene","Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",8.7,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",NA,NA
"1386","USGS-ME","USGS Maine Water Science Center","nwisma.01.97400996","Sample-Routine","Water","Groundwater",1974-07-22,NA,NA,NA,NA,NA,72,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-434758070272401",NA,"Ice-Contact Deposits, Pleistocene","Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",8.7,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",NA,NA
"1387","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401050","Sample-Routine","Water","Surface Water",1974-08-19,"09:15:00","EDT",NA,NA,NA,30,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-435708070283700",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",1.8,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-19 13:15:00,NA
"1388","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401111","Sample-Routine","Water","Surface Water",1974-08-26,"09:35:00","EDT",NA,NA,NA,35,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-442327070145500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4.8,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-26 13:35:00,NA
"1389","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401113","Sample-Routine","Water","Surface Water",1974-08-26,"09:55:00","EDT",NA,NA,NA,2,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-442327070145500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4.7,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-26 13:55:00,NA
"1390","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401129","Sample-Routine","Water","Surface Water",1974-08-26,"11:00:00","EDT",NA,NA,NA,2,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-442605070123500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",6,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-26 15:00:00,NA
"1391","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401010","Sample-Routine","Water","Groundwater",1974-06-05,NA,NA,NA,NA,NA,245,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-434922070050501",NA,"Bedrock Undifferentiated","Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",6.5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",NA,NA
"1392","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401012","Sample-Routine","Water","Groundwater",1974-06-06,NA,NA,NA,NA,NA,20,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-434957070175801",NA,"Till","Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",6.8,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",NA,NA
"1393","USGS-ME","USGS Maine Water Science Center","nwisma.01.97400982","Sample-Routine","Water","Groundwater",1974-06-06,NA,NA,NA,NA,NA,245,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-434532070125501",NA,"Bedrock Undifferentiated","Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",28,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",NA,NA
"1394","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401036","Sample-Routine","Water","Surface Water",1974-08-27,"12:00:00","EDT",NA,NA,NA,35,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-435600070283800",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-27 16:00:00,NA
"1395","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401219","Sample-Routine","Water","Surface Water",1974-09-03,"09:30:00","EDT",NA,NA,NA,70,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-444126068360600",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4.5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-09-03 13:30:00,NA
"1396","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401220","Sample-Routine","Water","Surface Water",1974-09-03,"09:45:00","EDT",NA,NA,NA,35,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-444126068360600",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4.4,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-09-03 13:45:00,NA
"1397","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401011","Sample-Routine","Water","Groundwater",1974-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-434943070283401",NA,"Bedrock Undifferentiated","Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",18,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",NA,NA
"1398","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401051","Sample-Routine","Water","Surface Water",1974-08-19,"09:30:00","EDT",NA,NA,NA,2,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-435708070283700",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",1.6,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-19 13:30:00,NA
"1399","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401221","Sample-Routine","Water","Surface Water",1974-09-03,"10:00:00","EDT",NA,NA,NA,25,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-444126068360600",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",5.5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-09-03 14:00:00,NA
"1400","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401075","Sample-Routine","Water","Surface Water",1974-08-19,"12:40:00","EDT",NA,NA,NA,40,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-435833070295700",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-19 16:40:00,NA
"1401","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401076","Sample-Routine","Water","Surface Water",1974-08-19,"13:00:00","EDT",NA,NA,NA,20,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-435833070295700",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4.9,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-19 17:00:00,NA
"1402","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401259","Sample-Routine","Water","Surface Water",1974-08-13,"11:20:00","EDT",NA,NA,NA,35,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-444328070045200",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",1,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-13 15:20:00,NA
"1403","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401038","Sample-Routine","Water","Surface Water",1974-08-27,"12:30:00","EDT",NA,NA,NA,2,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-435600070283800",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-27 16:30:00,NA
"1404","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401074","Sample-Routine","Water","Surface Water",1974-08-19,"12:20:00","EDT",NA,NA,NA,60,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-435833070295700",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-19 16:20:00,NA
"1405","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401260","Sample-Routine","Water","Surface Water",1974-08-13,"11:30:00","EDT",NA,NA,NA,20,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-444328070045200",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",1.4,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-13 15:30:00,NA
"1406","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401112","Sample-Routine","Water","Surface Water",1974-08-26,"09:45:00","EDT",NA,NA,NA,15,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-442327070145500",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",3.9,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-26 13:45:00,NA
"1407","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401276","Sample-Routine","Water","Surface Water",1974-08-12,"12:20:00","EDT",NA,NA,NA,25,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-444428068295200",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",2.5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-12 16:20:00,NA
"1408","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401277","Sample-Routine","Water","Surface Water",1974-08-12,"12:30:00","EDT",NA,NA,NA,2,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-444428068295200",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",2.5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-12 16:30:00,NA
"1409","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401155","Sample-Routine","Water","Surface Water",1974-08-28,"13:15:00","EDT",NA,NA,NA,80,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-443546070145800",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",3,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-28 17:15:00,NA
"1410","USGS-ME","USGS Maine Water Science Center","nwisma.01.97400979","Sample-Routine","Water","Surface Water",1974-09-17,"15:00:00","EDT",NA,NA,NA,35,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-433500070582700",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4.1,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-09-17 19:00:00,NA
"1411","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401157","Sample-Routine","Water","Surface Water",1974-08-28,"13:40:00","EDT",NA,NA,NA,20,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-443546070145800",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",3,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-28 17:40:00,NA
"1412","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401420","Sample-Routine","Water","Surface Water",1974-08-14,"15:15:00","EDT",NA,NA,NA,35,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-453023069290300",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",0.4,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-14 19:15:00,NA
"1413","USGS-ME","USGS Maine Water Science Center","nwisma.01.97400997","Sample-Routine","Water","Groundwater",1974-06-05,NA,NA,NA,NA,NA,24,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-434822070482501",NA,"Outwash","Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",12,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",NA,NA
"1414","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401218","Sample-Routine","Water","Surface Water",1974-09-03,"09:15:00","EDT",NA,NA,NA,104,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-444126068360600",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4.5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-09-03 13:15:00,NA
"1415","USGS-ME","USGS Maine Water Science Center","nwisma.01.97400998","Sample-Routine","Water","Groundwater",1974-06-06,NA,NA,NA,NA,NA,23,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-434906070175501",NA,"Ice-Contact Deposits, Pleistocene","Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4.4,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",NA,NA
"1416","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401013","Sample-Routine","Water","Groundwater",1974-06-06,NA,NA,NA,NA,NA,382,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-434958070175501",NA,"Bedrock Undifferentiated","Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",3,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",NA,NA
"1417","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401014","Sample-Routine","Water","Groundwater",1974-06-05,NA,NA,NA,NA,NA,27,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-435203070055701",NA,"Outwash","Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",34,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",NA,NA
"1418","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401156","Sample-Routine","Water","Surface Water",1974-08-28,"13:30:00","EDT",NA,NA,NA,35,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-443546070145800",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",3.3,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-28 17:30:00,NA
"1419","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401158","Sample-Routine","Water","Surface Water",1974-08-28,"13:50:00","EDT",NA,NA,NA,2,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-443546070145800",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",3.7,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-28 17:50:00,NA
"1420","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401348","Sample-Routine","Water","Surface Water",1974-09-16,"13:30:00","EDT",NA,NA,NA,2,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-445123067585800",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",3.8,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-09-16 17:30:00,NA
"1421","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401370","Sample-Routine","Water","Surface Water",1974-09-04,"11:30:00","EDT",NA,NA,NA,44,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-445447067591600",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",2.1,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-09-04 15:30:00,NA
"1422","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401373","Sample-Routine","Water","Surface Water",1974-09-04,"12:15:00","EDT",NA,NA,NA,2,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-445447067591600",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",2.6,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-09-04 16:15:00,NA
"1423","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401389","Sample-Routine","Water","Surface Water",1974-09-19,"14:00:00","EDT",NA,NA,NA,2,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-445613068474400",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4.2,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-09-19 18:00:00,NA
"1424","USGS-ME","USGS Maine Water Science Center","nwisma.01.97401396","Sample-Routine","Water","Surface Water",1974-08-20,"14:45:00","EDT",NA,NA,NA,1,"feet",NA,NA,NA,NA,NA,NA,"U.S. Geological Survey-Water Resources Discipline","USGS-445809070375800",NA,NA,"Not determined","Routine sample","USGS","USGS","USGS","Unknown",NA,"Chloride","Dissolved",4.5,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,NA,"00940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS",1974-08-20 18:45:00,NA
